3
手套
27
15
BRICK
皮手套,2,3,3,牛皮革做成的手套，农夫们都在用的好手套。_Shadow阁下
重手套,5,6,7,地下拳击手用的手套，里面掺有一些铁丝，一拳下去你可能会疼很久。_Shadow阁下
锁链手套,8,9,12,用链条制成的手套，是帝国士兵的制式装备。_Shadow阁下
轻型铁手套,9,11,20,给法师姥爷做的手套，上面有少量的魔法在流动。_Shadow阁下
铁手套,12,15,27,完全由铁包裹着的手套，虽然笨重但防御力惊人。_Shadow阁下
魔皮手套,28,35,33,用剧毒生物的皮制成的手套，对大部分毒素具有抵抗性。_Shadow阁下
鲨皮手套,33,39,39,鲨鱼皮制成的手套，听说对不死族有奇效？_Shadow阁下
重型手镯,37,44,43,用魔怪食尸鬼的骨骼制作而成的手镯，在关键时刻可比手套有用。_Shadow阁下
战场手套,39,47,49,为了适配于地狱战场的高温而专门制作的手套。_Shadow阁下
巨战手套,43,53,41,这是给深入地狱腹地的勇士们专门制作的手套。_Shadow阁下
荆棘连指手套,54,62,54,这是一件带有攻击性的手套，在没有武器的时候，可以试试用他。_Shadow阁下
吸血鬼骸骨手套,56,65,57,吸血鬼伯爵德古拉的骸骨做成的手套，受德古拉意志的影响，拥有者也会变得嗜血。_Shadow阁下
吸血鬼手套,59,67,63,吸血鬼伯爵德古拉的灵魂冶炼而成的手套，在被碾压的灵魂寄居后，这双手套使得主人变得更加渴望生命的力量，无论是鲜血还是魔力。_shadow阁下
十字军铁手套,59,69,76,圣堂武士长为对付恶魔而制作的对恶魔有着巨大杀伤的手套。_Shadow阁下
食人魔铁手套,62,71,85,被食人魔的魔法祝福过的手套，可以让普通人一拳可以干掉一个泰森。_Shadow阁下
靴子
28
15
IRON_BOOTS
皮靴,2,3,3,牛皮革做成的靴子，十分耐磨。_捌玖
重靴,5,6,7,鞋底镶嵌了铁块，行动起来十分不便，但可以很好的保护脚部。_捌玖
锁链靴,8,9,12,用锁链制成的靴子，看上去十分变扭。_捌玖
轻型金属靴,9,11,20,用先进的炼金技术制作的金属靴，质量轻，硬度大。_捌玖
护胫,12,15,27,附带额外金属插板的金属靴，可以很好地保护小腿与脚背。_doomfist
魔皮靴,28,35,36,使用999种魔兽皮制成，虽然只有一种，某裁缝大夸其词的吆喝道。_shiwtime
鲨皮之靴,33,39,39,使用深海的鲨鱼皮制成，可能会有点酸味。_shiwtime
织网之靴,37,44,43,以硬质皮革为基底，覆上编织成网状的魔力丝线，能有效吸收尖锐物体的穿刺伤害。_遗忘城主
战场之靴,39,47,49,一款专门为战场防护制作的战靴。_shiwtime
巨战之靴,43,53,54,一款专门为了长途奔袭和战场防护的制作的战靴。_shiwtime
飞龙皮靴,54,62,60,使用昂贵的飞龙皮制作而成，但是要小心龙族的复仇。_shiwtime
圣甲虫壳靴,56,65,66,传说遥远的年代有一个东方古国，那里黄沙遍地生命稀少，但是有一种生物顽强的生存了下来，古国人民便把这种生命称之为圣甲虫，当圣甲虫死亡后古国人民将其尸骸保留下来并且镶嵌在鞋子上。_shiwtime
骸骨靴,59,67,72,使用骷髅死亡后的骸骨制造而成，防御不错，但是有少许臭味。_shiwtime
镜化靴,59,68,81,某个神秘巫师制作的靴子，当时他用魔法轰击这双靴子的时候发生了转变，从此便光滑如镜。_shiwtime
极速靴,62,71,85,你使用魔法和一双珍贵的水晶鞋结合起来制成了这双鞋子防御强大速度也有所提升，但是要小心撞墙。_shiwtime
腰带
29
15
BRICK
饰带,2,2,3,仅仅是起装饰作用的皮带。_doomfist
轻扣带,3,3,7,附带环扣的劣质牛皮带，可以用于挂载物品，但负重过多的话可能会导致皮带断裂。_doomfist
扣带,5,5,12,军队使用的制式皮扣带，质地坚韧。_doomfist
重扣带,6,6,20,双层的皮扣带，据说足以抵挡刀剑的砍击。_doomfist
金属扣带,8,11,27,在两层皮扣带之间增加了金属夹层，防御力出色。_doomfist
魔皮腰带,29,34,36,魔兽皮制作的腰带，防御更加出色能携带更多东西。_shiwtime
鲨皮腰带,31,36,39,使用深海的鲨鱼皮制成，可能会有点酸味。_shiwtime
织网腰带,35,40,43,在皮带上覆盖编织过的网状魔力丝线，舒适耐用，还能抵御穿刺伤害。_遗忘城主
战场腰带,37,42,49,一款专门为战场制作的腰带。_shiwtime
巨战腰带,41,52,54,一款专门为了长途奔袭和战场的制作的腰带。_shiwtime
蛛网腰带,55,62,61,大型魔蛛的蛛丝浸渍后编织而成的腰带，有极强的韧性，轻便舒适，防护力强。_遗忘城主
吸血鬼獠牙腰带,56,63,68,在腰带上悬挂吸血鬼的牙齿？好吧，你真是个人才。_shiwtime
秘银腰带,58,65,75,使用珍贵的秘银制作的腰带，防御出色，魔法传导更快了。_shiwtime
洞穴巨魔腰带,59,66,82,洞穴巨魔皮糙肉厚？正好，他的皮适合用来做个腰带。_shiwtime
巨神腰带,61,71,85,大家管他叫“巨神腰带”，或许是穿上会获得巨神之力？你可以试试。_MeanCrying
